PROJECT_NAME,LATITUDE,LONGITUDE
CHANTILLY RISE,1.359338065,103.7630737
CHAPEL COURT,1.305455024,103.90763179999999
CHAPEL LODGE,1.308988234,103.9059205
CHARISMA VIEW,1.3444727969999999,103.7684611
CHARLESTON,1.29525769,103.8278402
CHARLTON 18,1.3568738880000002,103.88247829999999
CHARLTON 27,1.3553043919999999,103.8810637
CHARLTON CORNER,1.355562364,103.88154820000001
CHARLTON RESIDENCES,1.355898707,103.8812406
CHARLTON VILLAS,1.356463615,103.88207440000001
CHARMING GARDEN,1.316799835,103.80320909999999
CHATEAU LE FAME,1.316709339,103.82936540000001
CHATELET,1.3202323809999998,103.8243368
CHELSEA GROVE,1.3241177240000002,103.8511578
CHELSEA LODGE,1.305361402,103.8959253
CHELSEA VILLAGE,1.279816756,103.7905948
CHEN FANG MANSIONS,1.315226089,103.8879801
CHENG SOON GARDEN,1.3363818790000002,103.7734809
CHERRY GARDENS,1.3497792419999999,103.8786006
CHERRYHILL,1.350697604,103.8781822
CHESTERVALE,1.378567686,103.7744431
CHESTNUT RESIDENCES,1.367562605,103.7705833
CHILTERN PARK,1.350041909,103.86394159999999
CHIP HOCK GARDENS,1.320324497,103.812497
CHIP THYE GARDEN,1.381392239,103.83763979999999
CHIVERTON,1.317355912,103.8291691
CHOON KIM HOUSE,1.354504133,103.8793022
CHUAN GARDEN,1.362538339,103.8691051
CHUAN PARK,1.3524637919999998,103.8644358
CHUAN SEVEN,1.360293086,103.8670297
CHUAN TERRACE,1.362471339,103.8671604
CHUAN VILLAS,1.349247936,103.86116290000001
CHUAN VILLE,1.3606994030000001,103.8666236
CHUAN VISTA,1.359948856,103.8667424
CHUN TIN COURT,1.342215021,103.774618
CHWEE CHIAN VIEW,1.279578948,103.7881171
CITIGATE RESIDENCE,1.316607101,103.85332199999999
CITY EDGE,1.319559143,103.8466238
CITY LOFT,1.315049503,103.8566965
CITY REGENCY,1.326368618,103.8638313
CITY SQUARE RESIDENCES,1.3105792109999999,103.857484
CITY STUDIOS,1.310139358,103.85281640000001
CITY SUITES,1.3213054309999999,103.8521718
CITYLIFE@TAMPINES,1.359640872,103.941223
CITYLIGHTS,1.3088350770000001,103.8631297
CITYSCAPE @FARRER PARK,1.31777391,103.85138640000001
CITYVALE,1.302084534,103.8481179
CITYVISTA RESIDENCES,1.30912599,103.83757170000001
CLAREMONT,1.296135144,103.83758449999999
CLASSICAL TERRACE,1.344805871,103.87636280000001
CLAYMORE PLAZA,1.306818546,103.831627
CLEMENTI GREEN,1.3241529440000002,103.7737589
CLEMENTI PARK,1.3295474199999997,103.7659733
CLEMENTIWOODS CONDOMINIUM,1.296329825,103.7676022
CLIFTEN,1.3177867779999999,103.8291428
CLIVEDEN AT GRANGE,1.299787199,103.8263713
CLOVER BY THE PARK,1.359616306,103.84589609999999
CLOVER PARK,1.3500523430000002,103.84389990000001
CLUNY PARK RESIDENCE,1.321935453,103.8138608
CLYDES RESIDENCE,1.317344611,103.8522223
CLYDESVIEW,1.294254269,103.81814159999999
COASTAL BREEZE RESIDENCES,1.378440493,103.95737009999999
COASTAL VIEW RESIDENCES,1.379220136,103.9610433
COASTAL VILLAS,1.316306343,103.94409420000001
COASTARINA,1.3096917209999999,103.91839820000001
COASTLINE RESIDENCES,1.299086685,103.89900259999999
COCO PALMS,1.371743624,103.9459262
COMMONWEALTH TOWERS,1.295566284,103.80620440000001
COMPASS HEIGHTS,1.3916707430000002,103.8961139
CONCOURSE SKYLINE,1.300758318,103.86213690000001
CORAL PARK,1.353736881,103.8423807
CORALIS,1.3045260570000001,103.9054988
CORALS AT KEPPEL BAY,1.265149349,103.8164089
CORONA VILLE,1.3225444690000001,103.794809
CORONATION GROVE,1.32297296,103.8025208
CORONATION VILLAGE,1.323142345,103.80424040000001
CORONATION VILLE,1.321899555,103.8046808
COSMO,1.309560434,103.88102990000002
COSTA DEL SOL,1.311440042,103.9394816
COSTA ESTE,1.3123093829999999,103.9095618
COSTA RHU,1.296374812,103.8668662
COSY LODGE,1.3151819009999999,103.88652459999999
COTE D'AZUR,1.300728914,103.90414129999999
COUNTRY ESQUIRE,1.360038668,103.83115440000002
COUNTRY GRANDEUR,1.360573852,103.83136280000001
COUNTRY PARK CONDOMINIUM,1.3212043,103.95432609999999
CRADELS,1.324666312,103.8539114
CRAIG PLACE,1.278030333,103.8423769
CRANE COURT,1.312124805,103.89817370000002
CRESCENDO PARK,1.313681766,103.92622340000001
CRYSTAL COURT,1.294156023,103.82699559999999
CRYSTAL DE AZURE,1.34353218,103.8819156
CRYSTAL HEIGHTS,1.281537315,103.7857074
CRYSTAL LODGE,1.31139898,103.8796552
CRYSTAL MANSIONS,1.311202473,103.8766447
CRYSTAL RHU,1.298777342,103.88383499999999
CUBE 8,1.328382595,103.84151059999999
CUBIK,1.313453392,103.9120244
CUSCADEN RESERVE,1.30361001,103.8251534
CUSCADEN RESIDENCES,1.30474268,103.82666329999999
CYAN,1.317556997,103.8300468
